Serial,id.tag,species,study.name,population,id,tag,start.date,end.date,mortality.date,start.lat,start.long,end.lat,end.long,start.country,end.country,deployment.duration,fate,age.at.deployment.months,sex,migrant,captive.raised,rehabilitated,how.fate.determined,cause.of.death,transmitter.make.model,transmitter.attachment.method,transmitter.mass.grams,comments,mean.GPS.dist.last10fixes,mean.GPS.fixrate.last10fixes,start.country.quant,end.country.quant,n.locs,origin,deployment.duration.months,age.at.fate.months,age.at.fate.simple,population.binned,fate.binned,fate.at.annual.stage
59,Gardon_2016_Ad_wild_MW707 _707,Neophron percnopterus,Egyptian vulture Kobierzycki Gardon  ID_PROG 457,western europe,Gardon_2016_Ad_wild_MW707 ,707,3/29/16,3/20/20,3/21/20 0:00,44.2314,4.41436,42.1598,0.80898,France,France,1451.73125,confirmed transmitter failure,54,M,Y,N,N,resighted / recaptured,NA,Microwave 45g GPS-GSM,backpack,45,adult captured at breeding site in Gardon. born in 2009 in Herault and ringed in 2009. tag lost at nest on 21/03/2020,1.651081473,1.030979167,France,Spain,1451,N,47,101,adult,Western Europe,tx failure,spring migration
60,Gazam I01 Red_190589,Neophron percnopterus,Egyptian Vulture wild-birds Israel,middle east,Gazam I01 Red,190589,6/19/19,9/29/19,10/31/20 0:00,30.54386711,34.96349335,11.63648987,40.44796371,Israel,Ethiopia,101.8286343,unknown,2,unknown,Y,N,N,,,Ornitela OT-30,legloop,30,NA,0.137896763,0.967351852,Israel,Ethiopia,89,N,3,5,juvenile,Middle East,unknown,non-breeding
61,Guipuzcoa 01-Zuri-5533_5533,Neophron percnopterus,_Egyptian Vulture in Spain - Migra Program in Spain,western europe,Guipuzcoa 01-Zuri-5533,5533,7/17/17,11/26/17,11/27/17 4:00,43.16938,-2.123876,16.316701,-12.3172676,Spain,Mauritania,132.8231019,confirmed dead,1,F,Y,N,N,transmitter recovered,unknown,"Bird Solar GPRS 48 g, data logger GPS-GSM E-Obs",backpack,48,NA,0.649675267,1,Spain,Mauritania,126,N,4,5,juvenile,Western Europe,dead,non-breeding
62,Guipuzcoa 02-Endoia-5534_5534,Neophron percnopterus,_Egyptian Vulture in Spain - Migra Program in Spain,western europe,Guipuzcoa 02-Endoia-5534,5534,7/17/17,09-07-17,09-11-17 15:00,43.19792,-2.277571,36.3394133,-5.9685273,Spain,Argeria,51.60783565,likely transmitter failure,1,M,Y,N,N,inferred from transmissions,NA,"Bird Solar GPRS 48 g, data logger GPS-GSM E-Obs",backpack,48,NA,1.762002723,1.531577546,Spain,Spain,23,N,1,2,juvenile,Western Europe,tx failure,fall migration
63,Guipuzcoa 03-Ekhi-5533_5533,Neophron percnopterus,_Egyptian Vulture in Spain - Migra Program in Spain,western europe,Guipuzcoa 03-Ekhi-5533,5533,7/19/18,7/28/19,08-05-19 15:44,42.96061,-2.360367,16.5728341,-11.3847905,Spain,Mauritania,373.747037,unknown,1,M,Y,N,N,unknown,NA,"Bird Solar GPRS 48 g, data logger GPS-GSM E-Obs",backpack,48,NA,0.258421744,4.848871528,Spain,Mauritania,285,N,12,13,juvenile,Western Europe,unknown,non-breeding
64,Gurman_114,Neophron percnopterus,Egyptian vultures Dagestan2,caucasus,Gurman,114,7/24/17,11-04-18,11-04-18 3:27,43.00113,47.20156,13.88479,43.77549,Russia,Yemen,467.6354167,likely transmitter failure,1,unknown,Y,N,N,inferred from transmissions,NA,NA,NA,NA,Tagged in the nest,0.287990286,0.998055556,Russia,Yemen,449,N,15,16,juvenile,Middle East,tx failure,non-breeding
65,H42 Blue_180323,Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,H42 Blue,180323,12/13/18,01-12-19,1/13/19 3:55,32.75046,35.0175,30.19906807,38.70304489,Israel,Saudi Arabia,30.53461806,likely dead,6,unknown,Y,Y,N,inferred from transmissions,NA,Ornitela OT-30,legloop,30,NA,0.502656983,0.998774306,Israel,Saudi Arabia,31,Y,0,6,juvenile,Middle East,dead,breeding
66,H50 Green_171084,Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,H50 Green,171084,12/13/17,08-07-18,08-08-18 2:43,32.75217,35.01344,28.69042587,33.55215454,Israel,Egypt,237.9425,confirmed dead,7,unknown,Y,Y,N,transmitter recovered,"Found in a drinking pool, possibly drowned after exhaustion",Ornitela OT-30,legloop,30,NA,1.049431211,1.001331019,Israel,Egypt,238,Y,7,14,juvenile,Middle East,dead,fall migration
67,H54 Green_180324,Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,H54 Green,180324,12/22/18,5/20/19,5/20/19 5:29,32.75208,35.01376,36.30633163,40.22610474,Israel,Egypt,630.9288542,unknown,20,unknown,Y,Y,N,NA,NA,Ornitela OT-30,legloop,30,NA,1.121228158,0.99880787,Israel,Syrian Arab Republic,147,Y,4,24,adult,Middle East,unknown,fall migration
68,H57 Green_180325,Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,H57 Green,180325,12/23/18,04-03-19,04-04-19 6:17,32.75209,35.01348,37.44421768,36.87461853,Israel,Turkey,102.0884838,confirmed dead,19,unknown,Y,Y,N,transmitter recovered,Electrocuted,Ornitela OT-30,legloop,30,NA,0.581935966,1.012849537,Israel,Turkey,97,Y,3,22,adult,Middle East,dead,breeding
69,H60 Blue_16124,Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,H60 Blue,16124,12/13/17,5/29/19,5/30/19 1:33,32.75218,35.01342,33.07961273,35.67799377,Israel,Saudi Arabia,645.9107755,confirmed transmitter failure,19,unknown,Y,Y,N,resighted / recaptured,NA,Ornitela OT-30,legloop,30,"Transmitter stopped working, bird seen alive May 2020",0.003769171,0.999778935,Israel,Syrian Arab Republic,360,Y,17,36,adult,Middle East,tx failure,fall migration
70,H73 Blue_180327,Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,H73 Blue,180327,12/24/18,3/28/19,3/29/19 3:02,32.75222,35.01353,36.82848358,35.58696747,Israel,Turkey,94.95304398,confirmed dead,20,unknown,Y,Y,N,transmitter recovered,"Unknown, awaiting details from Turkish authorities",Ornitela OT-30,legloop,30,NA,0.539186019,0.998715278,Israel,Turkey,95,Y,3,23,adult,Middle East,dead,breeding
71,H81 Green_171081,Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,H81 Green,171081,10/25/17,5/29/19,5/30/19 1:53,32.75348,35.014,37.14785385,34.91914749,Israel,Jordan,608.7034375,unknown,6,unknown,Y,Y,N,unknown,NA,Ornitela OT-30,legloop,30,NA,2.111052918,0.996859954,Israel,Turkey,510,Y,19,25,adult,Middle East,unknown,breeding
72,H92 Green_180320,Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,H92 Green,180320,12/23/18,3/17/19,3/18/19 3:22,32.75223,35.01348,32.75438309,35.00495148,Israel,Israel,84.96701389,confirmed transmitter failure,8,unknown,Y,Y,N,resighted / recaptured,NA,Ornitela OT-30,legloop,30,"Transmitter fell, seen alive March 2019",0.001820578,0.999138889,Israel,Israel,72,Y,2,10,juvenile,Middle East,tx failure,breeding
73,H94 Blue_171085,Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,H94 Blue,171085,12/13/17,5/16/19,5/17/19 2:07,32.75212,35.01344,36.9154892,31.88492584,Israel,Turkey,519.9177315,confirmed dead,19,unknown,Y,Y,N,transmitter recovered,Electrocuted,Ornitela OT-30,legloop,30,NA,1.327535538,1.000210648,Israel,Turkey,520,Y,17,36,adult,Middle East,dead,breeding
74,Haydi_132084,Neophron percnopterus,Egyptian vultures in the Middle East and East Africa,caucasus,Haydi,132084,06-09-14,4/14/16,4/15/16 8:00,40.0813,43.6665,1.6534,37.8023,Turkey,Kenya,674.9681944,likely dead,24,unknown,Y,N,N,inferred from transmissions,NA,Northstar 30g Argos/GPS Solar PTTs,backpack,30,"tried to get Kenyan colleagues to track down tag, but were unable",0,1.033333333,Turkey,Kenya,668,N,22,46,adult,Middle East,dead,non-breeding
75,Hedjet_171349,Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Hedjet,171349,08-02-19,10-03-20,10/31/20 0:00,41.63582,25.85594,15.16983032,18.83414841,Bulgaria,NA,428.1618287,unknown,2,unknown,Y,N,N,active,NA,Ornitela,backpack,30,,0.863481594,7.948943287,Bulgaria,Chad,365,N,14,16,juvenile,Balkans & Italy,unknown,non-breeding
76,Heracles_130676,Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Heracles,130676,8/22/13,09-09-13,09-10-13 0:00,39.79217,21.55817,36.90367,21.88883,Greece,NA,21.83333333,confirmed dead,2,unknown,Y,N,N,terminated over water,drowned,Microwave satellite,backpack,45,track ends in sea,0.457226159,1,Greece,Greece,19,N,0,2,juvenile,Balkans & Italy,dead,fall migration
77,Huebra_17021,Neophron percnopterus,Egyptian vulture (Neophron percnopterus) in Arribes del Duero (Salamanca) - SALORO,western europe,Huebra,17021,6/15/17,4/15/19,4/16/19 4:48,41.05710983,-6.660486698,41.02536392,-6.676614761,Spain,Spain,668.5743981,confirmed transmitter failure,24,M,Y,N,N,resighted / recaptured,NA,"Ornitela ""OrniTrack‚Äê30 solar GPS‚ÄêGSM""",backpack,30,The animal is alive and continues to wear the transmitter,0.016094298,1.401596065,Spain,Spain,654,N,22,46,adult,Western Europe,tx failure,breeding
78,Huesca 02-REKI28_48500498481,Neophron percnopterus,_Egyptian Vulture in Spain - Migra Program in Spain,western europe,Huesca 02-REKI28,48500498481,7/13/19,11/15/19,11/16/19 0:00,42.14172,-0.211816,14.588333,-7.398149,Spain,Mali,134.6243056,confirmed dead,1,M,Y,N,N,inferred from transmissions,unnatural causes,"SAKER-H, GPS-GSM Ecotone",backpack,23,"Last locationes in a village, possible unnatural death",0.187015698,1,Spain,Mali,120,N,4,5,juvenile,Western Europe,dead,non-breeding
79,Iberia_171076,Neophron percnopterus,LIFE_Rupis_EgyptianVultures,western europe,Iberia,171076,10/31/19,11/20/19,10/31/20 0:00,40.61681,-7.742865,30.14985085,9.32810688,Spain,Algeria,19.87606481,confirmed dead,5,NA,Y,N,Y,resighted / recaptured,NA,NA,NA,NA,"This bird was transferred from rehab centre in Portugal for release in Extremadura late last autumn - not ideal, but there were no facilities in the rehab centre to keep the bird and it was considered better at the time to release the bird rather than keep it in captivity. It migrated much further east, achieved a successful sea crossing but ended up recaptured in east Algeria. ",0.743136689,0.998792824,Portugal,Algeria,21,N,0,5,juvenile,Western Europe,dead,fall migration
80,Ibrahim_131248,Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Ibrahim,131248,08-02-13,9/24/13,9/25/13 4:00,41.618,25.6495,34.981,25.241,Bulgaria,NA,52.5,likely transmitter failure,2,unknown,Y,N,N,inferred from transmissions,unknown,Microwave satellite,backpack,45,Not clear if the bird really died or the transmitter failed. ,0.244064967,1.008333333,Bulgaria,NA,38,N,1,3,juvenile,Balkans & Italy,tx failure,fall migration
81,Igdir_118175,Neophron percnopterus,Egyptian vultures in the Middle East and East Africa,caucasus,Igdir,118175,8/22/12,02-10-15,02-11-15 0:00,40.12167,43.5835,4.7795,42.7135,Turkey,Ethiopia,901.875,confirmed dead,54,unknown,Y,N,N,transmitter recovered,poisoning,Microwave 45g Argos/GPS Solar PTTs,backpack,45,NA,0.217724868,1,Turkey,Ethiopia,854,N,29,83,adult,Middle East,dead,non-breeding
82,IH1 Red_190615,Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,IH1 Red,190615,12/16/19,02-05-20,02-06-20 0:00,32.75208,35.01346,26.45897484,38.57135391,Israel,Saudi Arabia,50.98680556,confirmed dead,6,unknown,Y,Y,N,carcass found,Probably shot,Ornitela OT-30,legloop,30,"Confirmed dead and almost certainly shot by local collaborators, but the transmitter was never returned",0.661509906,0.996390046,Israel,Saudi Arabia,52,Y,1,7,juvenile,Middle East,dead,breeding
83,IH4 Red_190614,Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,IH4 Red,190614,12/16/19,9/29/20,10/31/20 0:00,32.75203,35.01339,24.08795929,38.48305511,Israel,Saudi Arabia,287.9526389,unknown,6,unknown,Y,Y,N,,,Ornitela OT-30,legloop,30,NA,1.552535436,0.999994213,Israel,Saudi Arabia,289,Y,9,15,juvenile,Middle East,unknown,fall migration
84,IH9 Red_190611,Neophron percnopterus,Egyptian Vulture Reintroduction Israel,middle east,IH9 Red,190611,12/16/19,9/19/20,10/31/20 0:00,32.7521,35.01356,28.62305641,31.45816994,Israel,Egypt,277.9675231,unknown,18,unknown,Y,Y,N,,,Ornitela OT-30,legloop,30,NA,0.851775943,1.003784722,Israel,Egypt,279,Y,9,27,adult,Middle East,unknown,fall migration
85,Ikaros_118145,Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Ikaros,118145,08-12-12,09-06-12,09-07-12 0:00,39.80383,21.68783,35.2265,26.26983,Greece,NA,29.45833333,confirmed dead,2,unknown,Y,N,N,terminated over water,drowned,Microwave satellite,backpack,45,track ends in sea,0.883964325,0.9875,Greece,NA,21,N,0,2,juvenile,Balkans & Italy,dead,fall migration
86,Ilin_130675,Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Ilin,130675,8/20/13,10/26/13,10/27/13 17:00,41.76817,21.72317,41.99067,21.45017,The former Yugoslav Republic of Macedonia,The former Yugoslav Republic of Macedonia,67.33333333,confirmed dead,2,unknown,Y,N,N,carcass found,predation,Microwave satellite,backpack,45,"Found dead near the nest, killed by predator",0.038390026,6.041666667,The former Yugoslav Republic of Macedonia,The former Yugoslav Republic of Macedonia,18,N,2,4,juvenile,Balkans & Italy,dead,breeding
87,Ilina_130674,Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Ilina,130674,08-05-13,9/24/13,9/25/13 0:00,41.769,21.72467,36.32067,30.084,The former Yugoslav Republic of Macedonia,NA,56.875,confirmed dead,2,unknown,Y,N,N,carcass found,predation,Microwave satellite,backpack,45,Most probably killed by Bonneli's eagle,1.275858453,0.995833333,The former Yugoslav Republic of Macedonia,Turkey,40,N,1,3,juvenile,Balkans & Italy,dead,fall migration
88,Iste_132086,Neophron percnopterus,Egyptian vultures in the Middle East and East Africa,caucasus,Iste,132086,06-10-14,6/19/20,6/22/20 16:00,40.0831,43.6674,39.7931,42.5251,Turkey,Turkey,2201.225035,likely transmitter failure,54,unknown,Y,N,N,inferred from transmissions,NA,Northstar 30g Argos/GPS Solar PTTs,backpack,30,NA,0.029909796,5.058267361,Turkey,Turkey,2087,N,72,126,adult,Middle East,tx failure,breeding
89,JuvSendim_16094,Neophron percnopterus,LIFE_Rupis_EgyptianVultures,western europe,JuvSendim,16094,08-10-19,8/26/19,8/26/19 12:47,41.38648,-6.390967,41.38894653,-6.385813236,Portugal,Portugal,21.94640046,confirmed dead,1,unknown,Y,N,N,carcass found,unknown,Ornitela_2G,backpack,25,Chick marked in the nest on the 01.08.2019. Found dead 02.09.2019 awaiting necropsy results,0.003168822,0.998667824,Spain,Spain,17,N,0,1,juvenile,Western Europe,dead,breeding
90,Kapchug_115,Neophron percnopterus,Egyptian vultures Dagestan2,caucasus,Kapchug,115,7/23/17,9/25/17,9/25/17 2:59,42.98421,47.18025,38.96566,48.78752,Russia,Azerbaijan,63.68194444,unknown,1,unknown,Y,N,N,unknown,NA,NA,NA,NA,Tagged in the nest,0.559050955,1.005763889,Russia,Azerbaijan,31,N,2,3,juvenile,Middle East,unknown,fall migration
91,Karbolet_L I22 Red_200651,Neophron percnopterus,Egyptian Vulture wild-birds Israel,middle east,Karbolet_L I22 Red,200651,7/25/20,8/22/20,10/31/20 0:00,30.61354256,34.9823761,28.83003426,34.09251785,Israel,"Egypt according to GPS, Yemen accoeding to capturer",27.88020833,likely dead,2,unknown,Y,N,N,inferred from transmissions,probably human,Ornitela OT-30,legloop,30,"A juvenile bird with a transmitter was caught and injured in Yemen. Although the rings and GPS were never recovered, this is the only bird that fits the description and was in yemen at the time.",0.284496166,0.988179398,Israel,Egypt,29,N,0,2,juvenile,Middle East,dead,fall migration
92,Karel_119158,Neophron percnopterus,Released Egyptian Vultures in Italy,italy,Karel,119158,09-10-15,10/19/15,10/20/15 8:00,39.1015,16.88783,36.75033,15.0645,Italy,Italy,38.70833333,likely transmitter failure,3,M,Y,Y,N,inferred from transmissions,unknown,Microwave Solar Argos/GPS PTT,backpack,NA,NA,0.572826814,0.995833333,Italy,Italy,40,Y,1,4,juvenile,Balkans & Italy,tx failure,fall migration
93,Kate_190557,Neophron percnopterus,Released Egyptian Vultures in Italy,italy,Kate,190557,7/29/19,12/26/19,12/27/19 0:00,40.64519,16.66182,37.1895752,13.96675873,Italy,Italy,150.2581019,confirmed dead,13,F,y,y,N,carcass found,unknown,Ornitela OT25,backpack,25,,0.14310889,1.700236111,Italy,Italy,143,Y,4,17,juvenile,Balkans & Italy,dead,non-breeding
94,Katerina_130671,Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Katerina,130671,8/24/13,9/21/13,10-01-13 0:00,41.14467,26.18267,32.53917,27.41,Greece,Egypt,371.9583333,likely dead,2,unknown,Y,N,N,inferred from transmissions,drowned,Microwave satellite,backpack,45,Bird drowned on the 18/9/2013 although carcass likely washed up on beach in Egypt on the 10/10/2013. Contacted locals to try to find it. Claimed they never did but a year later there were some fixes from Alexandria!!,1.152766057,2.633333333,Greece,NA,22,N,0,2,juvenile,Balkans & Italy,dead,breeding
95,La Rioja 01-Brieva-4404_4404,Neophron percnopterus,_Egyptian Vulture in Spain - Migra Program in Spain,western europe,La Rioja 01-Brieva-4404,4404,7/20/16,3/31/17,04-01-17 18:00,42.16987,-2.769862,16.9650155,-11.0388268,Spain,Mauritania,254.1249653,unknown,1,M,Y,N,N,unknown,NA,"Bird Solar GPRS 48 g, data logger GPS-GSM E-Obs",backpack,48,NA,0.216192661,2.641667824,Spain,Mauritania,201,N,8,9,juvenile,Western Europe,unknown,non-breeding
96,La Rioja 02-Quel-4405_4405,Neophron percnopterus,_Egyptian Vulture in Spain - Migra Program in Spain,western europe,La Rioja 02-Quel-4405,4405,7/20/16,10-11-17,01-02-18 20:00,42.16989,-2.769875,17.1673857,-14.9239831,Spain,Mauritania,448.1364468,unknown,1,M,Y,N,N,unknown,NA,"Bird Solar GPRS 48 g, data logger GPS-GSM E-Obs",backpack,48,,0.184406992,28.22711111,Spain,Mauritania,42,N,14,15,juvenile,Western Europe,unknown,NA
97,La Rioja 03 - Lidia -REKI38_48797732417,Neophron percnopterus,_Egyptian Vulture in Spain - Migra Program in Spain,western europe,La Rioja 03 - Lidia -REKI38,48797732417,7/20/18,1/23/20,1/24/20 8:00,42.88157,-2.632999,15.864083,-15.681899,Spain,Senegal,552,unknown,1,M,Y,N,N,unknown,NA,"SAKER-M, GPS-GSM Ecotone",backpack,21,NA,0.000432425,1,Spain,Senegal,541,N,18,19,adult,Western Europe,unknown,non-breeding
98,Langullo-9FC_5782,Neophron percnopterus,Neophron percnopterus. GREFA. Spain,western europe,Langullo-9FC,5782,7/20/17,9/14/17,9/15/17 5:00,40.48221,-4.167468,34.5203176,-4.9353954,Spain,Morocco,56.99965278,unknown,2,F,Y,N,N,unknown,NA,e-obs Bird GSM solar,backpack,48,NA,1.009760732,1.099972222,Spain,Morocco,24,N,1,3,juvenile,Western Europe,unknown,fall migration
99,Larouco-2HP_48500703772,Neophron percnopterus,Neophron percnopterus. GREFA. Spain,western europe,Larouco-2HP,48500703772,7/25/16,08-06-19,8/14/19 18:00,40.95475,-4.100033,41.338783,-5.983533,Spain,Spain,1106.786806,unknown,2,M,Y,N,N,unknown,NA,Ecotone SAKER-M,backpack,21,NA,0.703890605,7.824930556,Spain,Spain,206,N,36,38,adult,Western Europe,unknown,breeding
100,Lazaros_108050,Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Lazaros,108050,6/23/12,3/31/13,3/31/13 10:00,39.789,21.7325,41.05583,24.14917,Greece,Greece,280.5,confirmed dead,54,F,Y,N,Y,carcass found,poisoning,Microwave satellite,backpack,45,Tagged after being found poisoned in Meteora; poisoned again one year later,2.33985216,1.016666667,Greece,Greece,282,N,9,63,adult,Balkans & Italy,dead,spring migration
101,Lenka_171345,Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Lenka,171345,8/26/19,11/15/19,11/17/19 0:00,41.64299,25.87877,35.02528763,26.07086754,Bulgaria,Greece,81.0878588,confirmed dead,2,F,Y,Y,N,carcass found,Unknown,Ornitela,backpack,30,,0.014721342,1.000652778,Bulgaria,NA,82,Y,2,4,juvenile,Balkans & Italy,dead,non-breeding
102,Leonardo_B15AF11F,Neophron percnopterus,ISPRA,italy,Leonardo,B15AF11F,08-10-18,09-03-19,9/14/19 0:00,40.6769,16.5959,37.8534,15.1608,Italy,Mali,388.4944213,unknown,2,M,y,y,N,unknown,NA,Milsar GsmRadio Tag-M9,backpack,16,NA,0.544588552,0.995826389,Italy,Italy,31,Y,12,14,juvenile,Balkans & Italy,unknown,fall migration
103,Levkipos_118146,Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Levkipos,118146,08-07-12,1/31/15,02-01-15 0:00,41.089,26.13933,10.86567,26.57283,Greece,Sudan,1044.416667,likely transmitter failure,2,unknown,Y,N,N,inferred from transmissions,unknown,Microwave satellite,backpack,45,The bird died on 26.01.2015. Since then transmitter was sending signal from the same location,0.077693403,1,Greece,Sudan,897,N,29,31,adult,Balkans & Italy,tx failure,non-breeding
104,Loma_182260,Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,middle east,Loma,182260,12/16/19,4/15/20,4/16/20 0:00,11.713746,40.9760387,36.40784073,44.77937317,Ethiopia,Iraq,120.875544,confirmed dead,54,,Y,N,N,carcass found,shot,Ornitela,legloop,30,"cause of death officially unknown, but circumstances indicate it was shot (picked up within minutes of dying!)",0.142726709,1.014740741,Ethiopia,Iraq,122,N,3,57,adult,Middle East,dead,breeding
105,Lomets_118149,Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Lomets,118149,8/26/16,9/14/16,9/14/16 2:00,43.648,26.05967,34.9825,32.51567,Bulgaria,Cyprus,18.58333333,confirmed dead,2,M,Y,Y,N,terminated over water,drowned,Microwave satellite,backpack,45,Track ends in sea. Captive-bred from Vienna Zoo; originates from Turkish population,1.54377053,1,Bulgaria,Cyprus,20,Y,0,2,juvenile,Balkans & Italy,dead,fall migration
106,Lucrezia_B05AF11F,Neophron percnopterus,ISPRA,italy,Lucrezia,B05AF11F,8/15/19,6/15/20,6/16/20 0:00,40.6451,16.6619,40.605,16.807,Italy,Italy,373.1806944,confirmed dead,26,F,y,y,N,carcass found,probably elettrocuted,Milsar GsmRadio Tag-M9,backpack,16,"The carcass was found at the foot of an electric pole, with burned grass",0.24822912,0.97140162,Italy,Italy,306,Y,10,36,adult,Balkans & Italy,dead,breeding
107,Macedonia_61952,Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Macedonia,61952,08-10-11,9/16/11,9/17/11 0:00,41.18317,21.717,40.5305,23.20483,The former Yugoslav Republic of Macedonia,NA,39,confirmed dead,2,unknown,Y,N,N,terminated over water,drowned,Microwave satellite,backpack,45,track ends in sea,0.771181247,1.004166667,The former Yugoslav Republic of Macedonia,Greece,34,N,1,3,juvenile,Balkans & Italy,dead,fall migration
108,Malysh_116,Neophron percnopterus,Egyptian vultures Dagestan2,caucasus,Malysh,116,7/23/17,10/14/17,10/15/17 0:00,42.98465,47.18038,21.25267,40.69912,Russia,Saudi Arabia,91.06944444,confirmed dead,1,unknown,Y,N,N,resighted / recaptured,Collision with wires on power line and delivered to a rehabilitation center,NA,NA,NA,Tagged in the nest,1.044099857,1.339652778,Russia,Saudi Arabia,62,N,2,3,juvenile,Middle East,dead,fall migration
109,Manzaneda-95P_6471,Neophron percnopterus,Neophron percnopterus. GREFA. Spain,western europe,Manzaneda-95P,6471,08-06-18,09-05-20,09-09-20 12:30,41.20507,-4.827073,14.485795,-12.4621498,Spain,Senegal,760.9999306,likely dead,3,M,Y,N,N,inferred from transmissions,NA,e-obs Bird GSM solar,backpack,48,"suspected mortality, same location for a long time",2.04E-05,1.4,Spain,Senegal,686,N,24,27,adult,Western Europe,dead,non-breeding
110,Maok I37 Red_200647,Neophron percnopterus,Egyptian Vulture wild-birds Israel,middle east,Maok I37 Red,200647,07-12-20,9/13/20,10/31/20 0:00,30.61847115,35.03292847,26.93886375,32.44490814,Israel,Egypt,62.73851852,unknown,2,unknown,Y,N,N,,,Ornitela OT-30,legloop,30,NA,0.864991278,1.000291667,Israel,Egypt,51,N,2,4,juvenile,Middle East,unknown,fall migration
111,Maria_149504,Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Maria,149504,8/14/16,10-07-16,10-08-16 0:00,41.61867,25.65083,31.117,36.889,Bulgaria,Saudi Arabia,65,likely dead,2,unknown,Y,N,N,inferred from transmissions,unknown,Microwave satellite,backpack,45,The bird died on 10.10.2016. Since then transmitter was sending signal from the same location,1.893074419,1,Bulgaria,Jordan,42,N,1,3,juvenile,Balkans & Italy,dead,fall migration
112,Mata-181686_181686,Neophron percnopterus,Neophron percnopterus. GREFA. Spain,western europe,Mata-181686,181686,7/25/19,01-10-20,01-11-20 17:04,42.32494,-7.185443,17.12988472,-11.85478973,Spain,Mauritania,168.6420023,unknown,2,M,Y,N,N,unknown,NA,Ornitela OT-30 2G,backpack,30,NA,0.022944135,1.006006944,Spain,Mauritania,146,N,5,7,juvenile,Western Europe,unknown,non-breeding
113,Molina 80419_80419,Neophron percnopterus,Egyptian vulture EB Terra Natura UA Spain,western europe,Molina 80419,80419,8/14/08,04-10-11,04-10-11 14:00,40.8165,-1.838,40.88983,-1.76333,Spain,Spain,969.3333333,likely dead,54,F,Y,N,N,inferred from transmissions,NA,solar-powered GPS Microwave telemetry ,backpack,45,NA,1.798588307,4.666666667,Spain,Spain,842,N,31,85,adult,Western Europe,dead,breeding
114,Neli_200641,Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Neli,200641,08-06-20,10-10-20,10/31/20 0:00,41.61696,25.65046,36.39122391,28.190979,Bulgaria,NA,64.6662037,unknown,2,,Y,Y,N,NA,NA,Ornitela,legloop,30,,0.336881491,1.001130787,Bulgaria,NA,33,Y,2,4,juvenile,Balkans & Italy,unknown,fall migration
115,Nikola-Spasimir_182267,Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Nikola-Spasimir,182267,08-02-19,09-07-19,09-08-19 0:00,41.64357,25.87223,38.04098892,21.83072662,Bulgaria,Mediterranean sea,35.86762731,confirmed dead,2,F,Y,Y,N,inferred from transmissions,Natural barrier,Ornitela,backpack,30,,1.014166206,1.002289352,Bulgaria,Greece,21,Y,1,3,juvenile,Balkans & Italy,dead,fall migration
116,Noe_AC5AF11F,Neophron percnopterus,ISPRA,italy,Noe,AC5AF11F,08-10-19,10-03-19,10-04-19 0:00,40.677,16.5961,36.7934,15.0629,Italy,Libya,53.88826389,confirmed dead,2,M,y,y,N,terminated over water,drop in the sea,Milsar GsmRadio Tag-M9,backpack,16,Looks to have died at see and then floated long after; indecipoherable lat long in data provided,0.116538907,1.000024306,Italy,Italy,55,Y,1,3,juvenile,Balkans & Italy,dead,non-breeding
117,Odiseas_118149,Neophron percnopterus,Neophron percnopterus Bulgaria/Greece,balkans,Odiseas,118149,09-11-12,9/16/12,9/16/12 10:00,41.10467,26.24133,41.09317,26.24183,Greece,Greece,4.833333333,confirmed dead,3,unknown,Y,N,Y,carcass found,exhaustion,Microwave satellite,backpack,45,Found dead near Dadia; This individual was rescued before tagging; Probable reason of death - bad physical condition,0.002699974,0.972222222,Greece,Greece,6,N,0,3,juvenile,Balkans & Italy,dead,breeding
